novelId,categoryName,name,authorName,description,chapters,views,powerStone,rating,imageUrl
23138127806346305,Fantasy,The Lycan's Sin,B_Mitchylle,"[MATURE CONTENT]

“Are you mating with someone?”
Stunned, she took a step back, widening the space between them. “ Excuse me?”
“Ah…” A sigh left his lips. “ Perhaps, I need to rephrase my question. Are you f*cking someone?”
She sucked in a quick breath, not knowing what to say. Anger reared itself in her head, mixing with unexpected desire. Sadly, desire was winning.
He lifted an eyebrow, and in the next instant, he was already standing in front of her body. Her instincts kicked in. She took a couple steps back until her back hit the wall.
The smell of chocolates and almonds rolled between them. Entranced, she thought she smelled the sweetness of the wine but it disappeared as quickly as it came.
“I don’t think that is any of your business, Mr. Graydon.” she made a sound of annoyance.
“Is it not?” His breath fractured, his eyes darkened with desire.
“No.” Her lips quivered at her obvious denial. She mustered all the courage she could, hoping he wouldn’t smell her arousal. She knew it was for naught.
His fingers lightly brushed her cheeks, then they trailed down her neck, lingering on her collarbone, the contact sent shivers down her spine. It awakened the primal need she had been wanting to hide since they met.
She wanted him.
No.
She needed him, inside her.
Her face flushed at the thought of him taking her, preferably right against these walls.
“You want me,” he stated. ““As much as I want you.”
Shocked by her own raw and potent yearning, she turned her head away.
“I don’t…”
“Shhh…” he silenced her with a finger. Then he inched closer, so close his long lashes brushed against her cheek. Her heart pounded like a drum against her chest, fast and hot in anticipation.
“Now tell me little one… do I need to get rid of someone before I make you beg me to let you come?”

......

Is love worth the chaos it brings?

.....
Tags: #lycans #witch #strongfemalelead #strongmalelead #norape #smut #mates #slowburn

....

Check out Complete Information inside!

.....
Written by: B.Mitchylle
Email: bmitchylle@gmail.com
Insta: @b.mitchylle
Discord: MitchyMitch#3750

EDITED by: S.T. Ahikx
Insta: @S.T. Ahikx
I DO NOT OWN THE COVER!",483,2.6M,56,4.76,https://book-pic.webnovel.com/bookcover/23138127806346305?imageMogr2/thumbnail/600&imageId=1692466162726
17521596505284905,Eastern,Villain Cultivator,DamnPlotArmor,"If you can reincarnate or transmigrate into a cultivation novel world and you have a choice, would you be a protagonist, an antagonist, a side character, or a mob character?

And what would you do if you are aware that you're a character in a cultivation novel?

.

Mao Miaomiao, a 60-year-old retired professional MMA fighter got transmigrated into a mysterious cultivation world with modern technologies. He found himself in his youthful body, and he got a system as a bonus.

Cliche, right?

[Ding!]
[You have received new quests]
[Kill a native protagonist.]
[Kill a reincarnated protagonist.]
[Kill a transmigrated protagonist.]
[Kill a regressed protagonist.]
[Kill a time-traveled protagonist.]
[Kill a resurrected protagonist.]

From a mob character to a villain mob, from a villain mob to a villain boss, from a villain boss to a secret character, the system forced Mao Miaomiao to evolve ... and hunt every protagonist in this world.",763,6.4M,3,4.62,https://book-pic.webnovel.com/bookcover/17521596505284905?imageMogr2/thumbnail/600&imageId=1595401364693
22735472206243505,Eastern,Extracting Billions Of Toxins And Tempering An Unsullied Body EBOTATUB,,"#extract #rapiddevelopment
Gu Xi transmigrated to a fantasy world where strength was exalted. He was weak from a young age and was detested by his own clan.
Thankfully, he was bound to the Infinite Extraction System.
With the system, he could analyze anything and discover its weaknesses. He could also extract their impurities and repair their flaws.
Therefore, he extracted the billions of toxins from his own body and tempered a unique Unsullied Body, which put him in the best physical condition for cultivation.
His abilities improved by leaps and bounds.
What would he do if he lacked martial arts techniques?
[Ding! 99 million flaws are detected in the Sword Drawing Technique, a basic martial arts technique. The flaws have been repaired automatically and it has become the One Sword Immortal Kneels, a divine-grade cultivation technique.]
[Ding! 50 million flaws are detected in the waste left in the cauldron. The flaws have been repaired automatically and it has become the Pill of Great Enlightenment, a supreme-grade medicinal pill.]
[Ding! A hint of the divine beast bloodline is detected in White Fox, the Familiar Beast. The impurities in its body have been extracted automatically and it has evolved into the Nine-tailed Celestial Fox.]
As such, Gu Xi turned all junk into treasures and he was on an easy journey to become the mightiest in the world.",,,6,2.96,https://book-pic.webnovel.com/bookcover/22735472206243505?imageMogr2/thumbnail/600&imageId=1647409561217
23702833505413805,Games,Rise Online: Return of the Legendary Player,NandoFalske,"In the game Myth2, Klaus Park was already considered a top player at just 13 years old. With his advanced knowledge of the game and methods of adapting to the most varied situations, he became a world champion younger than anyone else. However, due to a tragic incident, he left his team and the gaming world a year later.
Now, 7 years after leaving the professional scene, he returned to play the eminent VRMMORPG called Rise Online, a unique game of unrestricted freedom whose number of players already exceeds one hundred million. This game allows players to use real-world skills such as martial arts, archery, blacksmithing, or reaction time for their own benefit, along with the freedom to explore 7 colossal, mythological worlds.
Planning how to conquer dungeons? Fight against powerful guilds? Slay the Werewolf King? Face hordes of thousands of zombies? Have the power to revive the dead? Or discover unknown battle techniques?
None of this is impossible for Klaus, a legendary player, and holder of the Psych Class, allowing him to see and talk to spirits, copy abilities, cast magic items, and see the signs that no one else can see across the worlds. His real goal is to reach the throne of the paranormal world and the top of the player and guild ranks of Rise Online. No matter what is in front of him, he will be head-on with his best, be it the High Lord of Vampires or the strongest Guild Master.



Main Tags: Action, Weaktostrong, Male MC, Videogame and evolution.
Schedule: 14 chapters/week.
Chapter length: 1000 - 2000 words
-------------------------------------------
Discord: https://discord.gg/bpqq9u4gS8",858,2.7M,8,4.73,https://book-pic.webnovel.com/bookcover/23702833505413805?imageMogr2/thumbnail/600&imageId=1697464277524
23943625406803205,Urban,"Unwanted Marriage: Honey, No More Divorce!",TheHana,"After three years of marriage, Wendy Stewart was used to Michael Lucas's sarcastic remarks, his frequent threats about getting divorced, and even his indulgence of a mistress. She thought that she could bear with this her entire life, until she accidentally got pregnant with a child that Michael did not want. Finally despondent, Wendy signed the divorce agreement and left. She thought they could have parted ways forever, but Michael refused to stop looking for her after the divorce.

When they met again, she was the world's top designer. Smiling sweetly at her ex-husband, she said, ""My dear, we're already divorced.""

Michael simply stared at her coldly, ""Tell me, what will it take for us to reconcile?""",714,2.1M,45,3.61,https://book-pic.webnovel.com/bookcover/23943625406803205?imageMogr2/thumbnail/600&imageId=1674652050666
23583893605477005,Fantasy,Hellbound Heart,KazzenlX,"[WARNING: MATURE CONTENT] - [MAIN STORY IS COMPLETED] Izabelle had underestimated the fire she thought she was going to play with tonight. But how could she ever have foreseen that the man she had happened to come across with does not play with just a small fire, but a whole inferno?
___
Excerpt:
""You going through this marriage with me might as well be like you digging your own grave. Because the moment you start to want more from me, I will divorce you. And the moment you break your promise and try to fight me… I will ruin you and break you apart completely. Mercilessly. You will regret ever meeting this devil tonight."" His threat was given in the same soft but cold voice.

But Elle did not even flinch. Her gaze never faltered either. This man was ruthless, and she knew that clearly. His eyes that moment promised nightmares and darkness without any promise of respite.
But no matter what he says now, it would still not change her decision. She truly had no other choice.

""I understand now…"" she said quietly, steeling herself. ""Since you don't trust that I will keep my word, how about we do this? You prepare the divorce documents beforehand now and I'll sign it. That way, once you decide to divorce me in the future, the papers would already have been signed and there would be no way I can trouble you about it. You would just need to send it to the lawyers and have it notarized.""

A heavy silence reigned before his quiet disbelieving laugh broke the silence.

""I'm at a loss for words, Princess Izabelle."" He looked wickedly amused. But then he started nodding in approval. ""Fine, princess. I will marry you.""
___

Instagram account: kazzenlx.x
facebook page: author_kazzenlx
Discord server: https://discord.gg/UGTA3A4

Cover is mine so don't use it. Cover Art by @azihidalgo
Logo by @gisel.arts",390,5.9M,416,4.76,https://book-pic.webnovel.com/bookcover/23583893605477005?imageMogr2/thumbnail/600&imageId=1671547250567
13225367206183305,Games,Spending My Retirement In A Game,DiceVR,"Follow Benjamin Joyce, an elderly man with a passion for blacksmithing who spent his life travelling the world and learning new things. Now, after helping out the developers of the first ever real VRMMO game, he gets the chance to play said game earlier than the majority of other people.
Taking this chance to do what he loves now that his real body is slowly giving in to his old age and the profession he lives for is no longer as important as it used to be, he starts his journey to become this new world's greatest Craftsman!
-----
Check out my second novel, Demon's Virtue!
https://www.webnovel.com/book/15238973305579305/Demon%27s-Virtue
-----
Join the discord! https://discord.gg/uFRQvTe
-----
Cover by: Belk (belkbelkbelk on Instagram)",850,11.6M,130,4.67,https://book-pic.webnovel.com/bookcover/13225367206183305?imageMogr2/thumbnail/600&imageId=1568313293737
19760896906311405,Fantasy,Inhuman Warlock,Demonic_angel,"""The boy has no powers,"" they claimed.

And thus, the Son of strongest Warlock was declared useless and sent to his death.

But was it really possible for the son of the greatest heroes of humankind to be useless? Or was it the biggest mistake the humans made that cost them everything and drove a potential Warlock to the dark side?

________________________________

Lucifer Azarel was the son of humanity's strongest Awakened humans, in a world where people awakened various powers.


After his parents perished for the sake of humanity, he was sent to the government facility so that they could keep an eye on his powers when they awakened. Unfortunately, even after 5 years, his powers didn't awaken.

The government gave up on the boy and allowed the scientists to use him as an experimental subject for their painful tests on the human bodies, but on the first test itself, Lucifer died. He saw the smile on the scientist's face even as he took his last breath.

Was it truly the end?

But what happens when the boy truly awakens? What if he awakened not one, but more than four powers that were capable of destroying the world itself if used properly?

The strongest Warlock who could have been humankind's greatest protector was driven to become it's biggest enemy.


What happens when the boy that has awakened several powers at once starts seeking vengeance.

Can the protectors of humanity face the wrath of the Strongest Warlock? Can they stop the person who kills without blinking? Or are they destined to be swallowed by the Darkness they created?

Join the journey of the Most Powerful Warlock...

..............
Discord Link: bit.ly/demonic1","1,075",7.7M,5,4.51,https://book-pic.webnovel.com/bookcover/19760896906311405?imageMogr2/thumbnail/600&imageId=1703184546518
22666653805653205,Fantasy,Global Symbiotes: My Symbiote Is A Slime,,"""Waking up from sleep, Ye Feng realized that he had transmigrated to a world where the cities had awakened and the whole world lived in symbiotic relations.
Every young person of age would choose a symbiote that was compatible with them.
Some people built a symbiotic relationship with the Ancient Great Dragon of the Origins. After they matured, they could shatter the earth with their dragon breaths.
Some people built a symbiotic relationship with the Twelve Winged Flaming Angel. After they matured, their sacred light shone upon the world.
Some people built a root-level symbiotic relationship with Succubuses. After they matured, they became insanely attractive and charmed the world.
However, Ye Feng’s symbiote was the most unremarkable creature, a Slime?!
Fortunately, he activated the system and awakened the six great sequences at the beginning!
[Perception]: Your ability to sense danger and opportunities is amplified significantly.
[Devour]: You can devour any living being that is smaller than yourself to increase the size of your own body.
[Split]: You can split your body into smaller parts. Each part will retain part of the initial body’s abilities.
[Regenerate]: The recovery capabilities of your various stats are amplified significantly, at the same time your adaptability is increased rapidly as well.
[Mimic]: Your symbiote will evolve at an accelerated pace. Every time it evolves, there is a chance that it can awaken a new ability.
Watch how Ye Feng’s Slime grows to rule the world in the end...",,,6,3.09,https://book-pic.webnovel.com/bookcover/22666653805653205?imageMogr2/thumbnail/600&imageId=1646811569812
12507300405677105,History,The Forgotten Princess,Les01,"Alicia Rosalyn Von Heist is the youngest daughter of King Edward of Alvannia. She is an illegitimate child born from a maid in the castle her father has fancied. After her mother died when she was young her father took her home and ‘adopted’ her.

Because of her low birth and illegitimacy she was neglected by her father the king and bullied by her stepmother the queen and her step-siblings.

When she was 16 years old a war broke out with the neighboring country of Grandcrest. The war lasted for two long years and the two countries have made a truce at the end. The Grandcest empire demanded a princess to be married to the young king. It is said that the king of Grandcrest specifically asked for the hand of Alicia.

Alicia was 18 years old when she was sent to Grandcrest as the fiancee of the young king who was said to be a cold blooded evil tyrant, King Regaleon of the Grandcrest empire.

Note: Cover photo from Pinterest.",467,31.0M,51,4.61,https://book-pic.webnovel.com/bookcover/12507300405677105?imageMogr2/thumbnail/600&imageId=1641186299175
